2022-10-25 14:59:11,644 |     INFO | 192.168.1.144:57173 | READ
2022-10-25 15:03:53,717 |     INFO | 192.168.1.144:51645 | READ
2022-10-25 15:04:36,202 |     INFO | 192.168.1.144:54767 | READ
2022-10-25 15:05:09,474 |     INFO | 192.168.1.144:54778 | READ
2022-10-25 15:06:07,143 |     INFO | 192.168.1.144:54797 | READ
2022-10-25 15:07:36,532 |     INFO | 192.168.1.144:54821 | READ
2022-10-25 15:08:37,707 |     INFO | 192.168.1.144:54846 | READ
2022-10-25 15:09:09,320 |     INFO | 192.168.1.144:54857 | READ
2022-10-25 15:10:35,901 |     INFO | 192.168.1.144:60685 | READ
2022-10-25 15:11:01,013 |     INFO | 192.168.1.144:60692 | READ
2022-10-25 15:12:23,624 |     INFO | 192.168.1.144:60717 | READ
2022-10-25 15:12:59,015 |     INFO | 192.168.1.144:60728 | READ
2022-10-25 15:13:17,322 |     INFO | 192.168.1.144:60738 | READ
2022-10-25 15:13:39,846 |     INFO | 192.168.1.144:60746 | READ
2022-10-25 15:15:26,604 |     INFO | 192.168.1.144:60791 | READ
2022-10-26 11:15:34,571 |     INFO | 192.168.1.144:56830 | READ
2022-10-26 11:17:43,811 |     INFO | 192.168.1.144:56903 | READ
2022-10-26 11:18:46,538 |     INFO | 192.168.1.144:56931 | READ
2022-10-26 11:19:14,320 |     INFO | 192.168.1.144:56951 | READ
2022-10-26 11:31:42,871 |     INFO | 192.168.1.144:61252 | READ
2022-10-26 11:32:24,076 |     INFO | 192.168.1.144:61275 | READ
